ImageId;f1;f2;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f3;f4;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29
IM_000839;0.0569712024381521;0.053751107897560296;0.036398532676966015;0.011954835383766214;-0.41628247622873993;-0.03196875073854388;-0.27706076454644607;0.015421168726638991;-0.02133288303501068;0.029593042890915223;0.0018239840356656773;0.0022994903628925003;109.0;21.0;3.0;7.805044810564718e-09;1.270903918624226e-08;0.40784313725490196;0.792156862745098;0.5470648489371956;0.015421168726638988;0.16862745098039217;0.5725490196078431;0.28872208875620037;0.017258564547263645;0.13333333333333333;0.47058823529411764;0.22366498343984698;0.010876161662706843
IM_000764;0.07289546441413935;0.06608275663206459;0.044387617263590744;0.020905772717835766;-0.1987443771209726;0.06792228954569401;-0.022853458469775143;0.007286575525047639;-0.04004329004329003;-0.00531914893617029;-0.021438384686781775;0.00011119350232654046;3.0;2.0;3.0;4.5390810944296766e-08;5.50719150913701e-08;0.5176470588235295;0.7843137254901961;0.6935379774747269;0.007286575525047639;0.3215686274509804;0.7176470588235294;0.5448126568966687;0.016324490620644512;0.23529411764705882;0.6745098039215687;0.45938454101363724;0.020295849969736376
IM_000847;0.13812932596571884;0.07139308101601367;0.18890969402011606;0.1739943557767875;-0.4207950489742669;0.049793186319850746;-0.11979640852538023;0.02229516682625112;-0.07258064516129031;0.020833333333333356;0.007920785269608892;0.034734353749228494;7.0;8.0;2.0;7.247001792018223e-08;8.171872104635782e-08;0.44313725490196076;0.9137254901960784;0.7441292790110494;0.022293020584554617;0.24313725490196078;0.8588235294117647;0.5639234468142325;0.040046369247575146;0.2196078431372549;0.8196078431372549;0.4838589054866531;0.042066136320400224
IM_000503;0.1055085359955203;0.0905387693946149;0.03498060365641925;0.02047001819886626;-0.8344121706061866;-0.06970628825324532;-0.5918954518340149;0.07093242000012973;0.0151515151515152;0.9565217391304347;0.12553393636394206;0.055127787653245275;62.0;12.0;2.0;1.5714976314640047e-08;5.395779594647004e-09;0.13333333333333333;0.8980392156862745;0.37577811141575923;0.07092428107220358;0.12549019607843137;0.8509803921568627;0.32724629654211695;0.06060613362029841;0.11764705882352941;0.8352941176470589;0.30849388389703397;0.05766958762304848
IM_000169;0.11729481508784863;0.1301201368863063;0.28500424216693204;0.2677180323241684;-0.42948023969915017;0.27248054461457527;-0.06456810639761726;0.048098452071127944;0.010582010582010583;0.9897959183673469;0.6831671745208654;0.14546193845126817;37.0;13.0;3.0;3.041161105980348e-08;4.210279118243948e-08;0.1411764705882353;0.8509803921568627;0.508354744404212;0.04945479488453502;0.10980392156862745;0.7372549019607844;0.38461199963856507;0.03964280733083668;0.12549019607843137;0.792156862745098;0.40836705506512605;0.044668625075107465
IM_000402;0.0626716067174653;0.06656628827598321;0.1706645437713701;0.14046828467933886;-0.06964407610361167;-0.002977409436945022;-0.03588789879952431;0.0004398507555555365;-1.1102230246251565e-16;0.018037518037518012;0.010444787783456583;3.399228340406891e-05;9.0;9.0;10.0;1.556143845636618e-07;2.6117850583952195e-08;0.6862745098039216;0.7529411764705882;0.7200306871080089;0.0004398507555555364;0.4980392156862745;0.6352941176470588;0.5692383251865514;0.002129029269530269;0.3607843137254902;0.5764705882352941;0.4684146846415685;0.005387067192486869
IM_000234;0.08526515308643592;0.0787645013838219;0.09866197382870764;0.08008558541461365;-0.3690241618400713;-0.008239848114581116;-0.1643871758427625;0.01311410625839397;0.02564102564102556;0.9444444444444445;0.2671235811761343;0.10384568009630153;85.0;62.0;27.0;7.212347966043851e-09;9.434664124196575e-09;0.3607843137254902;0.7215686274509804;0.5605816345764078;0.013016678413405704;0.24313725490196078;0.6784313725490196;0.4996271722510776;0.018736790541713278;0.19607843137254902;0.6627450980392157;0.4778533024248123;0.02172253372205286
IM_000474;0.1069006419730629;0.13171930542607457;0.03212856480431601;0.011166880691307302;-0.46069408174023646;0.013815722181332202;-0.24744836598195782;0.02092710634831842;-0.05701754385964912;-0.011666666666666659;-0.03530489031862912;0.00022599167028679835;13.0;4.0;1.0;6.114909065819776e-08;3.232719173733282e-08;0.48627450980392156;0.9607843137254902;0.6995202255622002;0.020927106348318417;0.20784313725490197;0.7529411764705882;0.4218066198261292;0.028601611089637765;0.13725490196078433;0.6039215686274509;0.3070742096606714;0.020252692143037637
IM_000143;0.06703638199873023;0.06961489058681354;0.08542814766097843;0.03311390405844423;-0.5250410035496584;0.000449192528772957;-0.2722057226689601;0.028182180821950897;0.012820512820512822;0.06212121212121211;0.06391958118136393;0.021419385119247902;28.0;22.0;12.0;1.0660206468485071e-08;1.1615081539783302e-08;0.3803921568627451;0.9058823529411765;0.6332274377434435;0.028182180821950894;0.21568627450980393;0.6901960784313725;0.4035272178630172;0.02133745714272816;0.18823529411764706;0.6039215686274509;0.32294410575831783;0.016076203701811946
IM_000134;0.12583856622130063;0.08617148222774311;0.36047046044506437;0.2525784937835518;-0.36292703097987944;0.15079845921619894;-0.14621023618081586;0.030351616009733424;0.00793650793650791;0.9927536231884058;0.2944058219036866;0.17153643814955322;38.0;10.0;7.0;4.96834816290025e-08;2.8441958272889542e-08;0.33725490196078434;0.8509803921568627;0.553772488376794;0.030235506159636393;0.20784313725490197;0.8196078431372549;0.4343313314684038;0.04283641004203785;0.18823529411764706;0.807843137254902;0.4164849012435036;0.04145081335882432
IM_000380;0.04208093441127194;0.04516299953478662;0.04043110438921213;0.037280053516193346;-0.07796642747848226;0.012229650952890303;-0.02206028401261082;0.0008417075016345792;-0.019339417644502414;-0.0032814015864863627;-0.01122243615533074;2.5044388010018374e-05;16.0;6.0;22.0;5.0324256628162866e-08;3.6149908278643796e-08;0.5882352941176471;0.6784313725490196;0.6441414375835184;0.0008417075016345792;0.33725490196078434;0.5176470588235295;0.4431300488633004;0.0033977610434972696;0.20392156862745098;0.42745098039215684;0.3323903510166362;0.005068437329511033
IM_000601;0.09513595187102766;0.09960229832477353;0.08259944822515736;0.0679549770953419;-0.025704896722618997;0.052726475826400665;0.025246523789028627;0.0007319932314996821;-0.03579460269865067;-0.007208260276641301;-0.021462733505711123;7.958860208608452e-05;44.0;20.0;12.0;1.6990924598010368e-08;1.6056801526275376e-08;0.9215686274509803;1.0;0.972520047962628;0.0007319932314996822;0.6862745098039216;0.8823529411764706;0.7881309130226853;0.0037003833162920323;0.5294117647058824;0.7843137254901961;0.6550866030399434;0.006230001966185859
IM_000392;0.1003108772295455;0.12927456190625053;0.06361993414344085;0.045973279929706956;-0.3375895548895321;0.03103789609086005;-0.11731480194140867;0.014572522159265716;-0.06666666666666667;-0.004629629629629678;-0.019213675885409506;0.013639663488136363;2.0;1.0;2.0;4.6680031141630085e-07;3.1358436790693347e-07;0.3215686274509804;0.6901960784313725;0.5418433803991038;0.014572522159265716;0.1843137254901961;0.5882352941176471;0.3861755153788708;0.018505548973744387;0.16470588235294117;0.5137254901960784;0.318790704944511;0.01380368088857614
IM_000225;0.0854031003806195;0.08687128500087661;0.14666858566512664;0.10955596001880878;-0.0828596338939801;0.0622384053217061;0.006588552649168982;0.0019582763521442705;-0.024509803921568547;0.011904761904761862;-0.0058720022598912555;0.0001267985508065955;4.0;10.0;10.0;6.272061966467296e-08;5.942980336650874e-08;0.5176470588235295;0.6627450980392157;0.6070952453666784;0.0019582763521442705;0.37254901960784315;0.6039215686274509;0.50376287347936;0.005247705298689935;0.24313725490196078;0.5529411764705883;0.4130082514690329;0.009514840482468073
